date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-09,9.51,9.75,9.61,9.51,193144.38,0.11,1.16,9.572,9.422,9.622,214243.32,216988.41,195735.3,1.68
2018-01-08,9.46,9.5,9.5,9.19,211630.39,0.09,0.96,9.546,9.359,9.673,214148.25,216962.11,193834.48,1.84
2018-01-05,9.62,9.65,9.41,9.38,192849.77,-0.21,-2.18,9.534,9.349,9.729,206760.05,216720.96,192436.93,1.68
2018-01-04,9.73,9.75,9.63,9.54,193574.66,-0.08,-0.82,9.518,9.348,9.791,211340.98,224707.77,195616.85,1.68
2018-01-03,9.48,9.79,9.71,9.44,280017.38,0.24,2.53,9.416,9.35,9.839,224187.23,217216.57,197179.6,2.43
2018-01-02,9.45,9.57,9.48,9.36,192669.05,0.04,0.42,9.272,9.37,9.872,219733.51,197470.37,192590.67,1.67
2017-12-29,9.4,9.54,9.44,9.21,174689.38,0.11,1.18,9.172,9.406,9.915,219775.97,191121.92,192457.13,1.52
2017-12-28,9.19,9.45,9.33,9.13,215754.41,0.21,2.3,9.164,9.464,9.957,226681.88,192350.94,195113.92,1.88
2017-12-27,9.0,9.33,9.12,8.96,257805.94,0.13,1.45,9.178,9.55,10.004,238074.57,193933.7,196237.64,2.24
2017-12-26,8.94,9.0,8.99,8.73,257748.77,0.01,0.11,9.284,9.674,10.072,210245.91,187898.88,190446.09,2.24
2017-12-25,9.39,9.41,8.98,8.96,192881.34,-0.41,-4.37,9.468,9.821,10.156,175207.22,174482.19,182773.88,1.68
2017-12-22,9.41,9.5,9.4,9.19,209218.92,-0.02,-0.21,9.64,9.987,10.24,162467.87,170706.85,181005.63,1.82
2017-12-21,9.64,9.64,9.4,9.13,272717.88,-0.25,-2.59,9.764,10.109,10.31,158020.01,168152.89,178501.94,2.37
2017-12-20,9.92,9.92,9.65,9.62,118662.64,-0.26,-2.62,9.922,10.233,10.379,149792.84,166525.92,174818.38,1.03
2017-12-19,9.8,9.94,9.91,9.78,82555.32,0.06,0.61,10.064,10.328,10.442,165551.85,177142.63,177622.52,0.72
2017-12-18,10.0,10.08,9.84,9.83,129184.57,-0.21,-2.09,10.174,10.374,10.495,173757.16,187710.98,183912.82,1.12
